industry,symbol,price,price_1yr_ago,high52,pe,mc
SERVICES,NSE:3MINDIA,20615,24892.1,25750,66.27,23233.6224
INDUSTRIAL MANUFACTURING,NSE:ABB,1327,1390.5,1670,50.88,28090.42699
CEMENT & CEMENT PRODUCTS,NSE:ACC,1475,1519.4,1769.05,15.92,27703.22126
INDUSTRIAL MANUFACTURING,NSE:AIAENG,1502.9,1742.55,1865,25.93,14175.41164
METALS,NSE:APLAPOLLO,1292,1539.2,1687.95,20.52,3094.384832
FINANCIAL SERVICES,NSE:AUBANK,666.6,688.35,719,39.97,19536.63209
FINANCIAL SERVICES,NSE:AAVAS,1550,#N/A,1630.1,#N/A,12116.0896
ENERGY,NSE:ADANIGREEN,45.5,52.5,56.2,#N/A,7108.566911
SERVICES,NSE:ADANIPORTS,369.8,364.65,430.6,17.72,76552.8099
ENERGY,NSE:ADANIPOWER,60.5,30.35,68.75,#N/A,23180.2028
ENERGY,NSE:ADANITRANS,235.05,184.75,256.3,42.85,25883.558
FINANCIAL SERVICES,NSE:ABCAPITAL,94.4,132.55,137.2,22.44,20784.8413
CONSUMER GOODS,NSE:ABFRL,188.85,188.65,236.9,43.34,14642.71909
CONSUMER GOODS,NSE:ADVENZYMES,162.5,210.05,226.95,15.81,1814.7415
ENERGY,NSE:AEGISCHEM,188.05,212.75,241.7,27.62,6382.266483
PHARMA,NSE:AJANTPHARM,1005.1,1162.1,1286.55,22.29,8769.87621
CONSUMER GOODS,NSE:AKZOINDIA,1705,1711.25,1860,34.67,7764.622855
PHARMA,NSE:APLLTD,497.1,610.3,664,15.17,9371.125504
PHARMA,NSE:ALKEM,1800.9,2125.25,2268,26.59,21600.26209
FINANCIAL SERVICES,NSE:ALBK,33,40.85,59,#N/A,12281.6694
SERVICES,NSE:ALLCARGO,92.4,115.15,124.45,9.01,2267.699584
AUTOMOBILE,NSE:AMARAJABAT,639.4,785.35,831.95,21.38,10920.11594
CEMENT & CEMENT PRODUCTS,NSE:AMBUJACEM,195.8,220.2,244,16.35,38898.65
FINANCIAL SERVICES,NSE:ANDHRABANK,18.9,30.9,34,#N/A,5640.680316
HEALTHCARE SERVICES,NSE:APOLLOHOSP,1505,1108.4,1542.45,80.75,20826.92308
AUTOMOBILE,NSE:APOLLOTYRE,176.6,230.75,250.8,17.74,10102.40688
AUTOMOBILE,NSE:ASHOKLEY,62.7,127.75,133.15,8.85,18464.46528
CONSTRUCTION,NSE:ASHOKA,95.2,130.65,155,#N/A,2675.338495
CONSUMER GOODS,NSE:ASIANPAINT,1539.7,1297.85,1622.5,65.55,147586.8988
HEALTHCARE SERVICES,NSE:ASTERDM,117.2,166.3,176.4,18.22,5926.930657
PHARMA,NSE:ASTRAZEN,1978,1749.35,2397.7,71.06,4948.94617
INDUSTRIAL MANUFACTURING,NSE:ASTRAL,1292.45,1069.2,1380,75.65,15558.12188
CHEMICALS,NSE:ATUL,3513.85,3128.35,4149,20.92,10418.17367
PHARMA,NSE:AUROPHARMA,624.4,790.35,838,14.38,36677.01214
CONSUMER GOODS,NSE:AVANTIFEED,353.4,416.1,494.5,17.14,4817.73654
CONSUMER GOODS,NSE:DMART,1568.05,1506.8,1698.7,109.96,97871.89217
FINANCIAL SERVICES,NSE:AXISBANK,671.2,650.15,827.75,34.43,176000.9671
CHEMICALS,NSE:BASF,1016.9,1894.85,1954,67.22,4423.18641
INDUSTRIAL MANUFACTURING,NSE:BEML,812,754.3,1034.9,26.51,3390.07258
FINANCIAL SERVICES,NSE:BSE,540,733.35,784,15.14,2796.60546
AUTOMOBILE,NSE:BAJAJ-AUTO,2810,2833.7,3149.95,16.6,81205.19974
CONSUMER GOODS,NSE:BAJAJCON,250,413.7,468.4,16.65,3683.2425
CONSUMER GOODS,NSE:BAJAJELEC,376.9,525.75,587.7,24.7,3863.867275
FINANCIAL SERVICES,NSE:BAJFINANCE,3429,2600.75,3762,45.67,198006.2677
FINANCIAL SERVICES,NSE:BAJAJFINSV,7303,6362.15,8580,35.89,116292.7715
FINANCIAL SERVICES,NSE:BAJAJHLDNG,3307,3060.75,3800,12.24,36804.76045
AUTOMOBILE,NSE:BALKRISIND,738.4,1138.35,1189.65,18.45,14220.48461
SERVICES,NSE:BALMLAWRIE,167,205.8,213,#N/A,1900.296135
CONSUMER GOODS,NSE:BALRAMCHIN,134.1,76.2,169,5.32,2938.116537
FINANCIAL SERVICES,NSE:BANDHANBNK,450,620.25,665.9,24.76,53749.7686
FINANCIAL SERVICES,NSE:BANKBARODA,95.45,140.5,150,27.36,36794.45251
FINANCIAL SERVICES,NSE:BANKINDIA,66.2,90.7,110.15,#N/A,21660.46053
FINANCIAL SERVICES,NSE:MAHABANK,11.85,12.6,19.9,#N/A,6901.569387
CONSUMER GOODS,NSE:BATAINDIA,1559.85,1020.1,1564.1,57.67,20052.27078
CONSUMER GOODS,NSE:BERGEPAINT,368.1,299.4,373.05,66.36,35737.57664
INDUSTRIAL MANUFACTURING,NSE:BDL,281.7,348.35,379.25,12.7,5163.031628
INDUSTRIAL MANUFACTURING,NSE:BEL,110,88.5,117.75,14.05,26717.24262
